,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
160,Republic of Moldova_2022-05-26,Republic of Moldova,2022-05-26,476290,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
161,Slovakia_2022-05-26,Slovakia,2022-05-26,451850,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
162,Belarus_2022-05-26,Belarus,2022-05-26,16549,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,0
163,Russian Federation_2022-05-25,Russian Federation,2022-05-25,958060,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,0
164,Hungary_2022-05-25,Hungary,2022-05-25,660192,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
165,Romania_2022-05-25,Romania,2022-05-25,554906,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
166,Republic of Moldova_2022-05-25,Republic of Moldova,2022-05-25,475011,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
167,Slovakia_2022-05-25,Slovakia,2022-05-25,449509,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
168,Belarus_2022-05-25,Belarus,2022-05-25,16547,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,0
169,Poland_2022-05-24,Poland,2022-05-24,3544995,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,0
170,Russian Federation_2022-05-24,Russian Federation,2022-05-24,945007,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,0
171,Hungary_2022-05-24,Hungary,2022-05-24,654664,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
172,Romania_2022-05-24,Romania,2022-05-24,550240,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
173,Republic of Moldova_2022-05-24,Republic of Moldova,2022-05-24,473690,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
174,Slovakia_2022-05-24,Slovakia,2022-05-24,446755,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
175,Poland_2022-05-23,Poland,2022-05-23,3524205,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,0
176,Russian Federation_2022-05-23,Russian Federation,2022-05-23,932220,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,0
177,Hungary_2022-05-23,Hungary,2022-05-23,649352,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
178,Romania_2022-05-23,Romania,2022-05-23,545845,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
179,Republic of Moldova_2022-05-23,Republic of Moldova,2022-05-23,472377,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
